,Channel,Cost per Lead,Leadcount,Phonecount,Meetingcount,Acquiredcount,Cost,2year NPV,Current Value,ROI,Conversion Rate,,
1,-,,27233,174921,257,1265,1826310,,,,,,
2,Email,10,15590,63152,41,915,799720,8000,7320000,8.153203621,5.87%,,
3,Organic,0,132014,409394,192,8301,4151540,7500,62257500,13.99624236,6.29%,,
4,Paid Bing,80,1217,3237,4,67,130930,7000,469000,2.582066753,5.51%,5.34%,
5,Paid Google,150,5030,13576,3,306,891160,7000,2142000,1.40360878,6.08%,,
6,Paid Social,150,33275,82426,15,1479,5820010,7000,10353000,0.778862923,4.44%,,
7,unknown-,,13,51,NA,3,#VALUE!,,,,,,
8,unknown-Google,,1,NA,NA,NA,#VALUE!,,,,,,
9,unknown-unknow,,136,324,NA,5,#VALUE!,,,,,,
,,,,,,,,,,,,,s
